Postal_Code,Building_Name,Location_Description,latitude,longitude
579837,Junction 8 Shopping Centre,Level 1 Fire Command Centre,1.2552186872664433,103.64047611032844
569935,Lycee Francais De Singapour,"Level 1 Block K, Opposite Reception Office K1-07",1.3561821244758214,103.79115229329646
569928,Lycee Francais De Singapour,"Level 1 Block G, Outside Multi-Purpose Room G1-01",1.4166403362179263,103.81828679474195
569928,Lycee Francais De Singapour,"Level 1 Block B Auditorium, Outside Room B1-02",1.4166403362179263,103.81828679474195
569383,Ang Mo Kio Methodist Church,Level 1 Lift Lobby,1.331549319719989,103.9674287484011
569383,Ang Mo Kio Methodist Church,Level 3 Information Counter,1.331549319719989,103.9674287484011
569383,Ang Mo Kio Methodist Church,Level 5 Outside The Sanctuary,1.331549319719989,103.9674287484011
569845,Presbyterian High School,"Level 2 Bethel Hall, Near Staircase 2H (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3492279275762054,103.88717369955702
569845,Presbyterian High School,Level 1 Admin Block (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3492279275762054,103.88717369955702
569845,Presbyterian High School,"Level 1 Special Rooms Block 1, Near Staircase 2T (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.3492279275762054,103.88717369955702
569845,Presbyterian High School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3492279275762054,103.88717369955702
569845,Presbyterian High School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.3492279275762054,103.88717369955702
568046,The Grassroots Club,Level 1 Outside Member Room,1.2735116779370568,103.804191250475
579795,Kuo Chuan Presbyterian Secondary School,"Level 1 Block A, Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.2835223935476998,103.81334480837818
579795,Kuo Chuan Presbyterian Secondary School,"Level 1 Block C, Outside Corner Of Art Room 2 (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.2835223935476998,103.81334480837818
579795,Kuo Chuan Presbyterian Secondary School,"Level 3 Block H, Outside Centre For International Studies (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.2835223935476998,103.81334480837818
579795,Kuo Chuan Presbyterian Secondary School,"Level 2 Block H, Outside Staff Room (Available During School Operating Hours. Approach Security Officer At Main Gate.)",1.2835223935476998,103.81334480837818
