subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count
BMSZ12,DEPOT ROAD,BUKIT MERAH,1.282222077052097,103.80855947837308,6540.0,0,1.0,0.199,0.13,14
BMSZ02,BUKIT MERAH,BUKIT MERAH,1.282014214112846,103.81858972312692,1110.0,0,1.0,0.199,0.13,14
OTSZ03,CHINATOWN,OUTRAM,1.2799694820424423,103.84368741875312,10490.0,0,0.0,0.199,0.13,3
DTSZ04,PHILLIP,DOWNTOWN CORE,1.285276843312479,103.84865417632476,10.0,0,0.0,0.199,0.13,1
DTSZ05,RAFFLES PLACE,DOWNTOWN CORE,1.283720000241768,103.85100738198908,40.0,0,0.0,0.199,0.13,2
OTSZ04,CHINA SQUARE,OUTRAM,1.2843864299599683,103.8468833241059,1430.0,0,0.0,0.199,0.13,2
BMSZ10,TIONG BAHRU,BUKIT MERAH,1.2838795305472366,103.83139275944406,12890.0,0,1.0,0.199,0.13,4
DTSZ12,BAYFRONT SUBZONE,DOWNTOWN CORE,1.2833347252444942,103.85853376179683,0.0,0,0.8,0.199,0.13,9
BMSZ04,TIONG BAHRU STATION,BUKIT MERAH,1.284029905454372,103.8268263612172,15120.0,0,1.0,0.199,0.13,2
DTSZ06,CLIFFORD PIER,DOWNTOWN CORE,1.285561905806231,103.85469937473908,0.0,0,0.8,0.199,0.13,1
MSSZ01,MARINA SOUTH,MARINA SOUTH,1.2805312986428294,103.8656285346646,0.0,0,0.8,0.199,0.13,67
DTSZ13,NICOLL,DOWNTOWN CORE,1.299321500777898,103.8641870281905,290.0,0,0.0,0.199,0.13,11
MESZ01,MARINA EAST,MARINA EAST,1.2885173871968896,103.87235158783412,0.0,0,0.8,0.199,0.13,40
RVSZ05,INSTITUTION HILL,RIVER VALLEY,1.2940158539005695,103.83750039699922,3150.0,0,0.0,0.199,0.13,1
SRSZ01,ROBERTSON QUAY,SINGAPORE RIVER,1.291285963595759,103.83706412860371,3010.0,0,0.0,0.199,0.13,7
WISZ01,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,1.2625323601827072,103.6986386515527,10.0,0,0.0,0.199,0.13,454
MUSZ02,FORT CANNING,MUSEUM,1.2940463913430484,103.8460529566889,190.0,0,0.0,0.199,0.13,3
OTSZ01,PEARL'S HILL,OUTRAM,1.285601663651388,103.83942254516158,6120.0,0,0.0,0.199,0.13,0
SRSZ03,BOAT QUAY,SINGAPORE RIVER,1.2873546011294492,103.84818906113507,130.0,0,0.0,0.199,0.13,0
BMSZ08,HENDERSON HILL,BUKIT MERAH,1.286985554822534,103.8223827838929,13320.0,0,1.0,0.199,0.13,3
BMSZ03,REDHILL,BUKIT MERAH,1.2876339561942527,103.817163352372,10620.0,0,1.0,0.199,0.13,4
BMSZ07,ALEXANDRA HILL,BUKIT MERAH,1.287505822775538,103.8095865142582,13490.0,0,1.0,0.199,0.13,7
BMSZ09,BUKIT HO SWEE,BUKIT MERAH,1.289671676488198,103.83044381036498,14390.0,0,1.0,0.199,0.13,4
SRSZ02,CLARKE QUAY,SINGAPORE RIVER,1.2895993363513407,103.84457916569038,130.0,0,0.0,0.199,0.13,5
QTSZ13,PASIR PANJANG 1,QUEENSTOWN,1.2866226877759497,103.78010107387112,4510.0,0,1.0,0.199,0.13,17
QTSZ07,QUEENSWAY,QUEENSTOWN,1.2885191957240625,103.79891178710976,270.0,0,1.0,0.199,0.13,16
MPSZ05,MARINA EAST (MP),MARINE PARADE,1.2922159140462235,103.8846765343044,0.0,0,1.0,0.199,0.13,139
WISZ03,SUDONG,WESTERN ISLANDS,1.1933384837249787,103.72488436744536,0.0,0,0.8,0.199,0.13,63
WISZ02,SEMAKAU,WESTERN ISLANDS,1.2013592429719302,103.77227673394934,0.0,0,0.8,0.199,0.13,132
SISZ02,SOUTHERN GROUP,SOUTHERN ISLANDS,1.228009451752713,103.84962773958512,0.0,0,0.8,0.199,0.13,224
SISZ01,SENTOSA,SOUTHERN ISLANDS,1.2497210381292878,103.82966916383964,1940.0,0,0.0,0.199,0.13,155
BMSZ17,CITY TERMINALS,BUKIT MERAH,1.2653004199465947,103.8368005527159,20.0,0,1.0,0.199,0.13,56
DTSZ10,ANSON,DOWNTOWN CORE,1.2737179127909748,103.84360995961352,80.0,0,0.0,0.199,0.13,14
SVSZ01,STRAITS VIEW,STRAITS VIEW,1.2712516610912177,103.85877319627342,0.0,0,0.8,0.199,0.13,96
BMSZ01,MARITIME SQUARE,BUKIT MERAH,1.2686893990414403,103.81362283115516,3620.0,0,1.0,0.199,0.13,52
BMSZ15,TELOK BLANGAH RISE,BUKIT MERAH,1.274034808334735,103.82460278260108,12150.0,0,1.0,0.199,0.13,19
DTSZ09,TANJONG PAGAR,DOWNTOWN CORE,1.275884519191568,103.84587860235952,670.0,0,0.0,0.199,0.13,3
BMSZ16,EVERTON PARK,BUKIT MERAH,1.274949804808943,103.836315892199,7810.0,0,1.0,0.199,0.13,4
BMSZ14,TELOK BLANGAH WAY,BUKIT MERAH,1.2773816093970425,103.82047414701732,9230.0,0,1.0,0.199,0.13,5
DTSZ07,MAXWELL,DOWNTOWN CORE,1.2794151816364674,103.84582665469983,0.0,0,0.8,0.199,0.13,3
DTSZ08,CECIL,DOWNTOWN CORE,1.278642607628731,103.84886506099345,260.0,0,0.0,0.199,0.13,13
BMSZ11,KAMPONG TIONG BAHRU,BUKIT MERAH,1.2783572712482043,103.82735076575196,9010.0,0,1.0,0.199,0.13,4
BMSZ13,TELOK BLANGAH DRIVE,BUKIT MERAH,1.2766547989696886,103.80887984051616,19320.0,0,1.0,0.199,0.13,13
QTSZ14,PASIR PANJANG 2,QUEENSTOWN,1.277584987357489,103.79461533416308,3060.0,0,1.0,0.199,0.13,49
DTSZ11,CENTRAL SUBZONE,DOWNTOWN CORE,1.2756736590422952,103.85242000082276,880.0,0,0.0,0.199,0.13,4
BMSZ05,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,1.2797252373429953,103.8346413891822,10.0,0,1.0,0.199,0.13,0
DTSZ01,BUGIS,DOWNTOWN CORE,1.2991457341314865,103.85603679756154,890.0,0,0.0,0.199,0.13,6
RCSZ10,VICTORIA,ROCHOR,1.2996636062042934,103.85298961592576,1760.0,0,0.0,0.199,0.13,2
RVSZ02,PATERSON,RIVER VALLEY,1.3012521817513178,103.83160520655493,240.0,0,0.0,0.199,0.13,1
MPSZ04,EAST COAST,MARINE PARADE,1.299691271334154,103.90867526787515,0.0,0,1.0,0.199,0.13,245
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,1.2959845251975957,103.77661864933738,240.0,0,1.0,0.199,0.13,15
RVSZ01,ONE TREE HILL,RIVER VALLEY,1.3017262738114217,103.82716856724952,2070.0,0,0.0,0.199,0.13,5
QTSZ03,COMMONWEALTH,QUEENSTOWN,1.3049473759447046,103.7998816749111,7000.0,0,1.0,0.199,0.13,9
QTSZ10,DOVER,QUEENSTOWN,1.3038619589251688,103.77954944762688,11080.0,0,1.0,0.199,0.13,23
TNSZ03,RIDOUT,TANGLIN,1.3034343318263215,103.81146905986962,1520.0,0,0.0,0.199,0.13,8
NTSZ04,CAIRNHILL,NEWTON,1.3066460686507626,103.8376503825013,3880.0,0,0.0,0.199,0.13,1
CLSZ08,CLEMENTI WEST,CLEMENTI,1.3025219273598778,103.76309139206336,15260.0,0,0.0,0.199,0.13,32
NTSZ05,MONK'S HILL,NEWTON,1.308022354616984,103.84160296355266,1030.0,0,0.0,0.199,0.13,20
BDSZ07,SIGLAP,BEDOK,1.306590763776463,103.92708615974864,6440.0,0,1.0,0.199,0.13,205
CLSZ07,CLEMENTI WOODS,CLEMENTI,1.3040812285179135,103.76831866285038,16000.0,0,0.0,0.199,0.13,12
PNSZ05,PIONEER SECTOR,PIONEER,1.300449002041553,103.6614548137725,0.0,0,0.8,0.199,0.13,96
JESZ11,PENJURU CRESCENT,JURONG EAST,1.3038542316125974,103.74033689421644,10.0,0,0.0,0.199,0.13,103
NTSZ01,ORANGE GROVE,NEWTON,1.31005518288548,103.83033705257913,1790.0,0,0.0,0.199,0.13,4
KLSZ04,KAMPONG BUGIS,KALLANG,1.3081638861192428,103.87049587307898,920.0,0,1.0,0.199,0.13,38
QTSZ12,KENT RIDGE,QUEENSTOWN,1.2850998737440142,103.79256836461492,80.0,0,1.0,0.199,0.13,12
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,1.2922809419446528,103.82027415587204,2620.0,0,1.0,0.199,0.13,3
QTSZ04,TANGLIN HALT,QUEENSTOWN,1.300870587419264,103.79675555658802,10590.0,0,1.0,0.199,0.13,14
RCSZ06,MACKENZIE,ROCHOR,1.3062401873869316,103.84841433557844,110.0,0,0.0,0.199,0.13,5
RCSZ03,SUNGEI ROAD,ROCHOR,1.3056991013457864,103.85669288319126,2050.0,0,0.0,0.199,0.13,3
QTSZ08,ONE NORTH,QUEENSTOWN,1.2982462989139003,103.79091120501532,720.0,0,1.0,0.199,0.13,28
KLSZ05,TANJONG RHU,KALLANG,1.3005910457830008,103.8759107061609,11110.0,0,1.0,0.199,0.13,21
MPSZ02,KATONG,MARINE PARADE,1.3072650473055665,103.90233511173967,9360.0,0,0.8392094017094017,0.199,0.13,11
ORSZ02,BOULEVARD,ORCHARD,1.3053727678215412,103.83257213001392,410.0,0,0.0,0.199,0.13,0
NTSZ06,ISTANA NEGARA,NEWTON,1.3053391290558327,103.8443422082146,60.0,0,0.0,0.199,0.13,1
RCSZ02,LITTLE INDIA,ROCHOR,1.3067833500558044,103.8540526534276,3270.0,0,0.0,0.199,0.13,1
PNSZ04,GUL BASIN,PIONEER,1.30337704787048,103.67452040521236,10.0,0,0.0,0.199,0.13,79
DTSZ03,MARINA CENTRE,DOWNTOWN CORE,1.2918507513627877,103.85971863230544,10.0,0,0.0,0.199,0.13,11
MUSZ03,BRAS BASAH,MUSEUM,1.2962611266237731,103.849456501195,10.0,0,0.0,0.199,0.13,2
ORSZ03,SOMERSET,ORCHARD,1.301103239957552,103.83894851476104,140.0,0,0.0,0.199,0.13,0
RCSZ09,BENCOOLEN,ROCHOR,1.3020047372600176,103.85128107184504,1310.0,0,0.0,0.199,0.13,1
TNSZ02,CHATSWORTH,TANGLIN,1.29703459147278,103.82340220194406,6890.0,0,0.0,0.199,0.13,8
RCSZ05,KAMPONG GLAM,ROCHOR,1.3022628967682637,103.85969079958431,120.0,0,0.0,0.199,0.13,3
RCSZ08,SELEGIE,ROCHOR,1.302153153623915,103.84964812500937,210.0,0,0.0,0.199,0.13,0
RCSZ07,MOUNT EMILY,ROCHOR,1.3024107030238945,103.84754485629544,1630.0,0,0.0,0.199,0.13,1
RCSZ04,ROCHOR CANAL,ROCHOR,1.3040353228099175,103.85752347122536,0.0,0,0.8,0.199,0.13,1
QTSZ05,MARGARET DRIVE,QUEENSTOWN,1.2972244324492317,103.80818385969484,16090.0,0,1.0,0.199,0.13,7
RVSZ04,OXLEY,RIVER VALLEY,1.2971091225645626,103.84053750680106,1490.0,0,0.0,0.199,0.13,10
DTSZ02,CITY HALL,DOWNTOWN CORE,1.2924357661517758,103.85316804530322,80.0,0,0.0,0.199,0.13,3
QTSZ06,MEI CHIN,QUEENSTOWN,1.29347230246104,103.8032270069761,15570.0,0,1.0,0.199,0.13,7
RVSZ03,LEONIE HILL,RIVER VALLEY,1.2979398059789415,103.83406382935466,3120.0,0,0.0,0.199,0.13,8
QTSZ15,PORT,QUEENSTOWN,1.2766215676879145,103.77561185524053,120.0,0,1.0,0.199,0.13,185
MUSZ01,DHOBY GHAUT,MUSEUM,1.2988498971692009,103.84518027039492,320.0,0,0.0,0.199,0.13,2
GLSZ02,MACPHERSON,GEYLANG,1.3273677721500636,103.8852042550787,28360.0,0,1.0,0.199,0.13,11
TPSZ07,KIM KEAT,TOA PAYOH,1.331887616347214,103.8586363593519,7960.0,0,1.0,0.199,0.13,1
BDSZ04,BEDOK NORTH,BEDOK,1.330427053357414,103.9360163651932,81840.0,0,0.7870723362658847,0.199,0.13,22
TPSZ02,TOA PAYOH CENTRAL,TOA PAYOH,1.332641043607604,103.84598592578412,28020.0,0,1.0,0.199,0.13,10
JESZ06,JURONG GATEWAY,JURONG EAST,1.333107045234054,103.74268098562932,450.0,0,0.0,0.199,0.13,0
BTSZ03,HOLLAND ROAD,BUKIT TIMAH,1.3270474790794935,103.7837744520674,10840.0,0,0.2356088560885609,0.199,0.13,18
GLSZ03,KAMPONG UBI,GEYLANG,1.3296108811552283,103.8965728774673,11800.0,0,1.0,0.199,0.13,20
