subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,area_sq_km,area_sq_m,population_density
BMSZ12,DEPOT ROAD,BUKIT MERAH,1.282222077052097,103.80855947837308,6540.0,0,1.0,0.199,0.13,5,0.4422975095581938,442297.5095581938,14786.427367707169
BMSZ02,BUKIT MERAH,BUKIT MERAH,1.282014214112846,103.81858972312692,1110.0,0,1.0,0.199,0.13,14,0.41172283025538786,411722.8302553879,2695.9884622173545
OTSZ03,CHINATOWN,OUTRAM,1.2799694820424423,103.84368741875312,10490.0,0,0.0,0.199,0.13,6,0.5872226793306676,587222.6793306676,17863.751468108807
DTSZ04,PHILLIP,DOWNTOWN CORE,1.285276843312479,103.84865417632476,10.0,0,0.0,0.199,0.13,0,0.03943793526326129,39437.935263261286,253.56297010091137
DTSZ05,RAFFLES PLACE,DOWNTOWN CORE,1.283720000241768,103.85100738198908,40.0,0,0.0,0.199,0.13,1,0.18876748971519036,188767.48971519037,211.90089490701718
OTSZ04,CHINA SQUARE,OUTRAM,1.2843864299599683,103.8468833241059,1430.0,0,0.0,0.199,0.13,0,0.13300693602444177,133006.93602444176,10751.319011943999
BMSZ10,TIONG BAHRU,BUKIT MERAH,1.2838795305472366,103.83139275944406,12890.0,0,1.0,0.199,0.13,4,0.4481275844385478,448127.5844385478,28764.12978716694
DTSZ12,BAYFRONT SUBZONE,DOWNTOWN CORE,1.2833347252444942,103.85853376179683,0.0,0,0.8,0.199,0.13,8,0.5212005223893823,521200.52238938236,0.0
BMSZ04,TIONG BAHRU STATION,BUKIT MERAH,1.284029905454372,103.8268263612172,15120.0,0,1.0,0.199,0.13,2,0.35078756143490863,350787.56143490865,43103.01066021588
DTSZ06,CLIFFORD PIER,DOWNTOWN CORE,1.285561905806231,103.85469937473908,0.0,0,0.8,0.199,0.13,1,0.26184389682555875,261843.89682555874,0.0
MSSZ01,MARINA SOUTH,MARINA SOUTH,1.2805312986428294,103.8656285346646,0.0,0,0.8,0.199,0.13,21,1.63037962792091,1630379.62792091,0.0
DTSZ13,NICOLL,DOWNTOWN CORE,1.299321500777898,103.8641870281905,290.0,0,0.0,0.199,0.13,6,0.6149236001842013,614923.6001842014,471.60330147213415
MESZ01,MARINA EAST,MARINA EAST,1.2885173871968896,103.87235158783412,0.0,0,0.8,0.199,0.13,34,1.8440417381318606,1844041.7381318605,0.0
RVSZ05,INSTITUTION HILL,RIVER VALLEY,1.2940158539005695,103.83750039699922,3150.0,0,0.0,0.199,0.13,2,0.39256333976551977,392563.3397655198,8024.18280291153
SRSZ01,ROBERTSON QUAY,SINGAPORE RIVER,1.291285963595759,103.83706412860371,3010.0,0,0.0,0.199,0.13,8,0.5065889590848744,506588.9590848744,5941.700753678884
