subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,risk_score,risk_score_normalized,normalized_risk_score,population_density_proxy,normalized_density,area_weight,current_aeds,optimized_aeds,current_coverage_effect,optimized_coverage_effect,coverage_improvement
BMSZ12,DEPOT ROAD,BUKIT MERAH,1.282222077052097,103.80855947837308,6540.0,0,1.0,0.199,0.13,5,50.004093,0.007610722,0.007610722,6540.0,0.04993128721942281,0.04993128721942281,5,4,0.0019000657306459002,0.0015200525845167202,-0.00038001314612917995
BMSZ02,BUKIT MERAH,BUKIT MERAH,1.282014214112846,103.81858972312692,1110.0,0,1.0,0.199,0.13,14,139.99149,0.021307921,0.021307921,1110.0,0.00847457627118644,0.00847457627118644,14,2,0.0025280584237288134,0.0003611512033898305,-0.0021669072203389828
OTSZ03,CHINATOWN,OUTRAM,1.2799694820424423,103.84368741875312,10490.0,0,0.0,0.199,0.13,6,59.995857,0.009131593,0.009131593,10490.0,0.0800885631394106,0.0800885631394106,6,7,0.004388016975263399,0.0051193531378072995,0.0007313361625439002
DTSZ04,PHILLIP,DOWNTOWN CORE,1.285276843312479,103.84865417632476,10.0,0,0.0,0.199,0.13,0,0.0036557845,3.4216267e-08,3.4216267e-08,10.0,7.634753397465261e-05,7.634753397465261e-05,0,2,0.0,5.2246552145365705e-12,5.2246552145365705e-12
DTSZ05,RAFFLES PLACE,DOWNTOWN CORE,1.283720000241768,103.85100738198908,40.0,0,0.0,0.199,0.13,1,9.998948,0.0015214419,0.0015214419,40.0,0.00030539013589861045,0.00030539013589861045,1,2,4.646333486028401e-07,9.292666972056802e-07,4.646333486028401e-07
OTSZ04,CHINA SQUARE,OUTRAM,1.2843864299599683,103.8468833241059,1430.0,0,0.0,0.199,0.13,0,0.117724374,1.7396873e-05,1.7396873e-05,1430.0,0.010917697358375325,0.010917697358375325,0,2,0.0,3.79867588792182e-07,3.79867588792182e-07
BMSZ10,TIONG BAHRU,BUKIT MERAH,1.2838795305472366,103.83139275944406,12890.0,0,1.0,0.199,0.13,4,40.00593,0.0060888776,0.0060888776,12890.0,0.09841197129332722,0.09841197129332722,4,6,0.0023968737903191325,0.0035953106854786985,0.001198436895159566
DTSZ12,BAYFRONT SUBZONE,DOWNTOWN CORE,1.2833347252444942,103.85853376179683,0.0,0,0.8,0.199,0.13,8,79.9986,0.012176258,0.012176258,0.0,0.0,0.0,8,2,0.0,0.0,0.0
BMSZ04,TIONG BAHRU STATION,BUKIT MERAH,1.284029905454372,103.8268263612172,15120.0,0,1.0,0.199,0.13,2,20.009327,0.003045146,0.003045146,15120.0,0.11543747136967476,0.11543747136967476,2,4,0.0007030479083829592,0.0014060958167659184,0.0007030479083829592
DTSZ06,CLIFFORD PIER,DOWNTOWN CORE,1.285561905806231,103.85469937473908,0.0,0,0.8,0.199,0.13,1,10.006733,0.0015226267,0.0015226267,0.0,0.0,0.0,1,2,0.0,0.0,0.0
MSSZ01,MARINA SOUTH,MARINA SOUTH,1.2805312986428294,103.8656285346646,0.0,0,0.8,0.199,0.13,21,209.99165,0.031962816,0.031962816,0.0,0.0,0.0,21,2,0.0,0.0,0.0
DTSZ13,NICOLL,DOWNTOWN CORE,1.299321500777898,103.8641870281905,290.0,0,0.0,0.199,0.13,6,59.99589,0.009131598,0.009131598,290.0,0.002214078485264926,0.002214078485264926,6,1,0.00012130844800732937,2.0218074667888224e-05,-0.00010109037333944115
MESZ01,MARINA EAST,MARINA EAST,1.2885173871968896,103.87235158783412,0.0,0,0.8,0.199,0.13,34,339.9956,0.051751032,0.051751032,0.0,0.0,0.0,34,2,0.0,0.0,0.0
RVSZ05,INSTITUTION HILL,RIVER VALLEY,1.2940158539005695,103.83750039699922,3150.0,0,0.0,0.199,0.13,2,20.000746,0.0030438397,0.0030438397,3150.0,0.024049473202015576,0.024049473202015576,2,1,0.00014640548259276225,7.320274129638113e-05,-7.320274129638113e-05
SRSZ01,ROBERTSON QUAY,SINGAPORE RIVER,1.291285963595759,103.83706412860371,3010.0,0,0.0,0.199,0.13,8,79.99344,0.012175472,0.012175472,3010.0,0.02298060772637044,0.02298060772637044,8,3,0.0022383979673232554,0.0008393992377462208,-0.0013989987295770345
WISZ01,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,1.2625323601827072,103.6986386515527,10.0,0,0.0,0.199,0.13,334,3339.9517,0.5083816,0.5083816,10.0,7.634753397465261e-05,7.634753397465261e-05,334,1,0.012963769613681477,3.881368147808826e-05,-0.01292495593220339
MUSZ02,FORT CANNING,MUSEUM,1.2940463913430484,103.8460529566889,190.0,0,0.0,0.199,0.13,7,69.99493,0.010653575,0.010653575,190.0,0.0014506031455183998,0.0014506031455183998,7,2,0.00010817876584211331,3.090821881203237e-05,-7.727054703008094e-05
OTSZ01,PEARL'S HILL,OUTRAM,1.285601663651388,103.83942254516158,6120.0,0,0.0,0.199,0.13,3,29.995306,0.004565136,0.004565136,6120.0,0.0467246907924874,0.0467246907924874,3,2,0.0006399137040769583,0.0004266091360513055,-0.00021330456802565276
SRSZ03,BOAT QUAY,SINGAPORE RIVER,1.2873546011294492,103.84818906113507,130.0,0,0.0,0.199,0.13,0,0.007817756,6.677201e-07,6.677201e-07,130.0,0.000992517941670484,0.000992517941670484,0,2,0.0,1.3254483585280196e-09,1.3254483585280196e-09
BMSZ08,HENDERSON HILL,BUKIT MERAH,1.286985554822534,103.8223827838929,13320.0,0,1.0,0.199,0.13,9,90.005585,0.013699445,0.013699445,13320.0,0.1016949152542373,0.1016949152542373,9,13,0.012538475084745763,0.018111130677966103,0.00557265559322034
BMSZ03,REDHILL,BUKIT MERAH,1.2876339561942527,103.817163352372,10620.0,0,1.0,0.199,0.13,3,30.006866,0.0045668953,0.0045668953,10620.0,0.08108108108108109,0.08108108108108109,3,4,0.0011108664243243244,0.0014811552324324325,0.0003702888081081081
BMSZ07,ALEXANDRA HILL,BUKIT MERAH,1.287505822775538,103.8095865142582,13490.0,0,1.0,0.199,0.13,10,99.99685,0.01522024,0.01522024,13490.0,0.10299282333180639,0.10299282333180639,10,14,0.015675754893876927,0.021946056851427698,0.00627030195755077
BMSZ09,BUKIT HO SWEE,BUKIT MERAH,1.289671676488198,103.83044381036498,14390.0,0,1.0,0.199,0.13,5,50.00715,0.007611187,0.007611187,14390.0,0.10986410138952511,0.10986410138952511,5,8,0.004180981101313177,0.006689569762101084,0.002508588660787907
SRSZ02,CLARKE QUAY,SINGAPORE RIVER,1.2895993363513407,103.84457916569038,130.0,0,0.0,0.199,0.13,4,39.99392,0.0060870494,0.0060870494,130.0,0.000992517941670484,0.000992517941670484,4,2,2.416602296533822e-05,1.208301148266911e-05,-1.208301148266911e-05
QTSZ13,PASIR PANJANG 1,QUEENSTOWN,1.2866226877759497,103.78010107387112,4510.0,0,1.0,0.199,0.13,12,119.99852,0.018264743,0.018264743,4510.0,0.03443273782256833,0.03443273782256833,12,6,0.007546861285387082,0.003773430642693541,-0.003773430642693541
QTSZ07,QUEENSWAY,QUEENSTOWN,1.2885191957240625,103.79891178710976,270.0,0,1.0,0.199,0.13,6,60.00129,0.00913242,0.00913242,270.0,0.002061383417315621,0.002061383417315621,6,2,0.00011295251488776912,3.765083829592305e-05,-7.530167659184608e-05
MPSZ05,MARINA EAST (MP),MARINE PARADE,1.2922159140462235,103.8846765343044,0.0,0,1.0,0.199,0.13,17,170.01917,0.025878506,0.025878506,0.0,0.0,0.0,17,2,0.0,0.0,0.0
WISZ03,SUDONG,WESTERN ISLANDS,1.1933384837249787,103.72488436744536,0.0,0,0.8,0.199,0.13,0,0.012155999,1.3280546e-06,1.3280546e-06,0.0,0.0,0.0,0,2,0.0,0.0,0.0
WISZ02,SEMAKAU,WESTERN ISLANDS,1.2013592429719302,103.77227673394934,0.0,0,0.8,0.199,0.13,0,0.012155999,1.3280546e-06,1.3280546e-06,0.0,0.0,0.0,0,2,0.0,0.0,0.0
SISZ02,SOUTHERN GROUP,SOUTHERN ISLANDS,1.228009451752713,103.84962773958512,0.0,0,0.8,0.199,0.13,19,189.9831,0.028917264,0.028917264,0.0,0.0,0.0,19,2,0.0,0.0,0.0
SISZ01,SENTOSA,SOUTHERN ISLANDS,1.2497210381292878,103.82966916383964,1940.0,0,0.0,0.199,0.13,54,540.0409,0.08220041,0.08220041,1940.0,0.014811421591082608,0.014811421591082608,54,11,0.06574526608337151,0.013392554202168271,-0.052352711881203245
BMSZ17,CITY TERMINALS,BUKIT MERAH,1.2653004199465947,103.8368005527159,20.0,0,1.0,0.199,0.13,59,589.9793,0.08980166,0.08980166,20.0,0.00015269506794930523,0.00015269506794930523,59,2,0.000809023963963964,2.7424541151320813e-05,-0.0007815994228126432
DTSZ10,ANSON,DOWNTOWN CORE,1.2737179127909748,103.84360995961352,80.0,0,0.0,0.199,0.13,0,0.007633258,6.396371e-07,6.396371e-07,80.0,0.0006107802717972209,0.0006107802717972209,0,2,0.0,7.813554435791723e-10,7.813554435791723e-10
SVSZ01,STRAITS VIEW,STRAITS VIEW,1.2712516610912177,103.85877319627342,0.0,0,0.8,0.199,0.13,28,279.94467,0.042610537,0.042610537,0.0,0.0,0.0,28,2,0.0,0.0,0.0
BMSZ01,MARITIME SQUARE,BUKIT MERAH,1.2686893990414403,103.81362283115516,3620.0,0,1.0,0.199,0.13,14,139.99149,0.021307921,0.021307921,3620.0,0.027637807298824247,0.027637807298824247,14,6,0.008244659003511986,0.0035334252872194225,-0.004711233716292563
